,Conditions,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (EDT),Time (EST),Visibility,Wind Dir,Wind Speed,Windchill,date
0,Clear,6.1°F,	,  -,,45%,,30.28in,25.0°F,,12:51 AM,10.0mi,West,3.5mph,20.7°F,2014-01-01
1,Clear,5.0°F,	,19.6mph,,43%,,30.31in,25.0°F,,1:51 AM,10.0mi,West,9.2mph,15.5°F,2014-01-01
2,Clear,6.1°F,	,17.3mph,,46%,,30.33in,24.1°F,,2:51 AM,10.0mi,WNW,9.2mph,14.4°F,2014-01-01
3,Clear,6.1°F,	,  -,,46%,,30.34in,24.1°F,,3:51 AM,10.0mi,West,9.2mph,14.4°F,2014-01-01
4,Clear,7.0°F,	,  -,,48%,,30.35in,24.1°F,,4:51 AM,10.0mi,Calm,Calm,  -,2014-01-01
5,Clear,9.0°F,	,  -,,53%,,30.37in,24.1°F,,5:51 AM,10.0mi,Variable,3.5mph,19.7°F,2014-01-01
6,Clear,9.0°F,	,  -,,51%,,30.38in,25.0°F,,6:51 AM,10.0mi,West,4.6mph,19.3°F,2014-01-01
7,Clear,10.9°F,	,  -,,53%,,30.39in,26.1°F,,7:51 AM,10.0mi,Variable,4.6mph,20.5°F,2014-01-01
8,Clear,12.0°F,	,  -,,51%,,30.39in,28.0°F,,8:51 AM,10.0mi,Variable,5.8mph,21.7°F,2014-01-01
9,Clear,12.0°F,	,  -,,51%,,30.40in,28.0°F,,9:51 AM,10.0mi,West,9.2mph,19.3°F,2014-01-01
10,Clear,12.0°F,	,  -,,49%,,30.40in,28.9°F,,10:51 AM,10.0mi,West,10.4mph,19.8°F,2014-01-01
11,Mostly Cloudy,12.0°F,	,  -,,47%,,30.37in,30.0°F,,11:51 AM,10.0mi,WNW,6.9mph,23.2°F,2014-01-01
12,Partly Cloudy,14.0°F,	,  -,,50%,,30.35in,30.9°F,,12:51 PM,10.0mi,Calm,Calm,  -,2014-01-01
13,Partly Cloudy,15.1°F,	,  -,,50%,,30.35in,32.0°F,,1:51 PM,10.0mi,WSW,8.1mph,24.8°F,2014-01-01
14,Clear,16.0°F,	,  -,,52%,,30.33in,32.0°F,,2:51 PM,10.0mi,WNW,8.1mph,24.8°F,2014-01-01
15,Overcast,16.0°F,	,  -,,52%,,30.34in,32.0°F,,3:51 PM,10.0mi,Calm,Calm,  -,2014-01-01
16,Clear,15.1°F,	,  -,,48%,,30.32in,33.1°F,,5:51 PM,10.0mi,Calm,Calm,  -,2014-01-01
17,Clear,17.1°F,	,  -,,54%,,30.32in,32.0°F,,6:51 PM,10.0mi,NE,4.6mph,27.5°F,2014-01-01
18,Scattered Clouds,18.0°F,	,  -,,54%,,30.32in,33.1°F,,7:51 PM,10.0mi,ENE,5.8mph,27.7°F,2014-01-01
19,Overcast,18.0°F,	,  -,,56%,,30.30in,32.0°F,,8:51 PM,10.0mi,Variable,4.6mph,27.5°F,2014-01-01
20,Overcast,19.0°F,	,  -,,59%,,30.29in,32.0°F,,9:51 PM,10.0mi,ENE,6.9mph,25.6°F,2014-01-01
21,Overcast,19.0°F,	,  -,,59%,,30.31in,32.0°F,,9:58 PM,10.0mi,ENE,8.1mph,24.8°F,2014-01-01
22,Overcast,19.0°F,	,  -,,59%,,30.28in,32.0°F,,10:51 PM,10.0mi,ENE,11.5mph,23.0°F,2014-01-01
23,Overcast,19.0°F,	,  -,,59%,,30.26in,32.0°F,,11:51 PM,10.0mi,ENE,8.1mph,24.8°F,2014-01-01
0,Snow,12.0°F,Snow,26.5mph,,81%,0.04in,29.68in,17.1°F,,12:37 AM,0.5mi,NE,12.7mph,3.6°F,2014-01-03
1,Heavy Snow,10.9°F,Snow,20.7mph,,81%,0.06in,29.65in,16.0°F,,12:51 AM,0.2mi,NNE,10.4mph,3.6°F,2014-01-03
2,Heavy Snow,7.0°F,Snow,21.9mph,,80%,0.06in,29.65in,12.0°F,,1:51 AM,0.2mi,NNE,13.8mph,-3.4°F,2014-01-03
3,Heavy Snow,6.1°F,Snow,21.9mph,,81%,0.05in,29.67in,10.9°F,,2:51 AM,0.2mi,NNE,12.7mph,-4.1°F,2014-01-03
4,Heavy Snow,6.1°F,Snow,23.0mph,,81%,0.04in,29.70in,10.9°F,,3:51 AM,0.2mi,NNW,11.5mph,-3.4°F,2014-01-03
5,Heavy Snow,6.1°F,Snow,28.8mph,,81%,0.04in,29.75in,10.9°F,,4:51 AM,0.2mi,North,15.0mph,-5.4°F,2014-01-03
6,Light Snow,5.0°F,Snow,23.0mph,,77%,0.03in,29.79in,10.9°F,,5:51 AM,0.8mi,North,12.7mph,-4.1°F,2014-01-03
7,Light Snow,5.0°F,Snow,21.9mph,,77%,0.00in,29.84in,10.9°F,,6:51 AM,1.0mi,North,9.2mph,-1.8°F,2014-01-03
8,Light Snow,3.0°F,Snow,26.5mph,,73%,0.02in,29.91in,10.0°F,,7:51 AM,1.0mi,North,9.2mph,-2.9°F,2014-01-03
9,Light Snow,3.9°F,Snow,21.9mph,,73%,0.00in,29.99in,10.9°F,,8:51 AM,2.5mi,North,16.1mph,-5.9°F,2014-01-03
10,Light Snow,5.0°F,Snow,  -,,71%,0.00in,30.01in,12.9°F,,9:51 AM,4.0mi,North,  -,  -,2014-01-03
11,Overcast,3.9°F,	,  -,,64%,0.00in,30.04in,14.0°F,,10:51 AM,10.0mi,North,  -,  -,2014-01-03
12,Partly Cloudy,3.0°F,	,26.5mph,,52%,,30.06in,18.0°F,,11:51 AM,10.0mi,WNW,8.1mph,7.7°F,2014-01-03
13,Clear,1.0°F,	,23.0mph,,48%,,30.15in,18.0°F,,1:51 PM,10.0mi,NW,10.4mph,6.1°F,2014-01-03
14,Clear,-0.9°F,	,23.0mph,,47%,,30.20in,16.0°F,,2:51 PM,10.0mi,NW,11.5mph,2.9°F,2014-01-03
15,Clear,-2.0°F,	,20.7mph,,45%,,30.23in,16.0°F,,3:51 PM,10.0mi,NW,11.5mph,2.9°F,2014-01-03
16,Clear,-2.9°F,	,20.7mph,,45%,,30.28in,15.1°F,,4:51 PM,10.0mi,NW,11.5mph,1.8°F,2014-01-03
17,Clear,-2.9°F,	,16.1mph,,47%,,30.34in,14.0°F,,5:51 PM,10.0mi,NW,8.1mph,2.9°F,2014-01-03
18,Clear,-5.1°F,	,21.9mph,,45%,,30.39in,12.9°F,,6:51 PM,10.0mi,NW,10.4mph,-0.2°F,2014-01-03
19,Clear,-7.1°F,	,16.1mph,,42%,,30.43in,12.0°F,,7:51 PM,10.0mi,NW,9.2mph,-0.4°F,2014-01-03
20,Clear,-6.0°F,	,  -,,47%,,30.44in,10.9°F,,8:51 PM,10.0mi,NW,6.9mph,0.2°F,2014-01-03
21,Clear,-5.8°F,	,  -,,48%,,30.48in,10.4°F,,9:51 PM,10.0mi,WNW,5.8mph,0.8°F,2014-01-03
22,Clear,-5.1°F,	,  -,,51%,,30.46in,10.0°F,,10:51 PM,10.0mi,Variable,4.6mph,1.8°F,2014-01-03
23,Clear,-5.1°F,	,  -,,53%,,30.47in,9.0°F,,11:51 PM,10.0mi,WNW,6.9mph,-2.2°F,2014-01-03
0,Clear,-5.1°F,	,  -,,53%,,30.45in,9.0°F,,12:49 AM,10.0mi,Variable,6.9mph,-2.2°F,2014-01-04
1,Clear,-4.0°F,	,  -,,56%,,30.48in,9.0°F,,3:51 AM,10.0mi,Calm,Calm,  -,2014-01-04
2,Clear,-0.9°F,	,  -,,61%,,30.48in,10.0°F,,4:51 AM,10.0mi,Calm,Calm,  -,2014-01-04
3,Clear,-0.9°F,	,  -,,59%,,30.48in,10.9°F,,5:51 AM,10.0mi,Variable,3.5mph,4.7°F,2014-01-04
4,Mostly Cloudy,-0.0°F,	,  -,,61%,,30.52in,10.9°F,,6:51 AM,10.0mi,WNW,4.6mph,2.9°F,2014-01-04
5,Clear,1.0°F,	,  -,,64%,,30.52in,10.9°F,,7:51 AM,10.0mi,Calm,Calm,  -,2014-01-04
6,Clear,1.0°F,	,  -,,56%,,30.52in,14.0°F,,8:51 AM,10.0mi,WNW,5.8mph,5.1°F,2014-01-04
