Clinton West,144767,17777,8.14350002812623
Financial District South,47926,28261,1.695835249991154
Gramercy,336980,7096,47.48872604284104
Roosevelt Island,1087,133,8.172932330827068
Central Harlem,43072,8249,5.221481391683841
Financial District North,105757,95,1113.2315789473685
Seaport,25288,1100,22.98909090909091
Times Sq/Theatre District,402655,30841,13.055834765409681
Yorkville East,157824,12637,12.489040120281713
Central Harlem North,19105,13163,1.4514168502620983
East Village,435099,1315,330.8737642585551
Greenwich Village North,228411,27394,8.337993721252829
Hudson Sq,78276,1055,74.19526066350711
SoHo,120485,1461,82.46748802190281
Upper West Side North,241164,52027,4.635362407980471
Garment District,218800,2,109400.0
Lenox Hill East,222486,653,340.7136294027565
Manhattanville,14073,11409,1.2334998685248488
Penn Station/Madison Sq West,391819,1683,232.8098633392751
Randalls Island,1822,1042,1.748560460652591
Stuy Town/Peter Cooper Village,45534,9378,4.855406269993602
TriBeCa/Civic Center,251243,53597,4.687631770434912
Bloomingdale,43400,202,214.85148514851485
East Harlem South,83953,9737,8.622060182807846
Highbridge Park,87,1470,0.05918367346938776
Lincoln Square East,380543,34602,10.997716894977168
Little Italy/NoLiTa,162446,20450,7.9435696821515895
Meatpacking/West Village West,203277,2895,70.21658031088083
Murray Hill,410854,1426,288.1164095371669
Two Bridges/Seward Park,31706,72084,0.43984795516342046
Union Sq,408447,25341,16.118030069847283
Upper East Side South,484632,41172,11.77091227047508
West Chelsea/Hudson Yards,211364,111,1904.1801801801803
West Village,284648,892,319.11210762331837
Central Park,184342,12720,14.492295597484278
Chinatown,30349,6,5058.166666666667
East Harlem North,44511,792,56.20075757575758
Governor's Island/Ellis Island/Liberty Island,6,1809,0.003316749585406302
Lincoln Square West,133196,36617,3.6375454024087173
Midtown South,315083,52679,5.981187949657358
UN/Turtle Bay South,180140,14543,12.386715258199821
Upper East Side North,448484,1507,297.6005308560053
Washington Heights South,13675,8036,1.7017172722747635
Clinton East,405583,1048,387.006679389313
Lenox Hill West,303205,22472,13.492568529725881
Alphabet City,44547,864,51.55902777777778
Battery Park City,117937,585,201.6017094017094
East Chelsea,333143,2086,159.70421860019175
Hamilton Heights,15285,101,151.33663366336634
Inwood,1712,669,2.5590433482810164
Marble Hill,146,3686,0.0396093326098752
Sutton Place/Turtle Bay North,253184,7427,34.08967281540326
Yorkville West,228019,19660,11.598118006103764
Battery Park,5418,692,7.829479768786127
Kips Bay,163602,950,172.21263157894737
Midtown Center,432522,2256,191.72074468085106
Midtown East,410365,76583,5.358434639541413
Midtown North,339796,49076,6.923873176297986
Morningside Heights,73939,3430,21.556559766763847
Washington Heights North,3333,1698,1.9628975265017667
World Trade Center,64517,4104,15.720516569200779
Flatiron,251485,9938,25.305393439323808
Greenwich Village South,193032,45610,4.232229774172331
Inwood Hill Park,90,3511,0.02563372258615779
Lower East Side,212678,714,297.86834733893556
Manhattan Valley,111499,1022,109.09882583170254
Upper West Side South,325480,24290,13.399752984767394
